#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
135.0000 1963.4627 1.1397 1.1550 1.1132 1.1166 1.1311
136.0000 1958.4662 1.1824 1.1834 1.1220 1.1536 1.1023
137.0000 1953.4694 1.1793 1.1674 1.1428 1.1558 1.1687
138.0000 1948.4724 1.1437 1.1545 1.1047 1.1380 1.1504
139.0000 1943.4752 1.1213 1.1340 1.0719 1.1022 1.1203
140.0000 1938.4778 1.0476 1.0556 1.0252 1.0385 1.0438
141.0000 1933.4801 1.0489 1.0547 1.0249 1.0504 1.0709
142.0000 1928.4822 1.0594 1.0521 1.0084 1.0348 1.0531
143.0000 1923.4841 1.0711 1.0710 1.0238 1.0503 1.0372
144.0000 1918.4857 -99999 -99999 -99999 -99999 -99999          
145.0000 1913.4872 1.0782 1.0768 1.0349 1.0450 1.0648
146.0000 1908.4884 -99999 -99999 1.0820 1.1174 1.1200
147.0000 1903.4893 -99999 -99999 -99999 -99999 -99999          
148.0000 1898.4901 -99999 -99999 -99999 -99999 -99999          
149.0000 1893.4906 1.0113 0.9998 0.9830 1.0002 1.0153
150.0000 1888.4909 1.2107 -99999 1.1690 1.2174 1.2388
151.0000 1883.4910 1.1097 1.1129 1.0671 1.1164 1.1556
152.0000 1878.4909 1.0845 1.0816 1.0704 1.1000 1.1256
153.0000 1873.4906 -99999 -99999 -99999 -99999 -99999          
154.0000 1868.4901 -99999 -99999 -99999 -99999 -99999          
155.0000 1863.4893 -99999 -99999 -99999 -99999 -99999          
156.0000 1858.4883 -99999 -99999 -99999 -99999 -99999          
157.0000 1853.4872 -99999 -99999 -99999 -99999 -99999          
158.0000 1848.4858 0.9038 0.8984 0.8577 0.9063 0.9051
159.0000 1843.4842 -99999 -99999 -99999 -99999 -99999          
160.0000 1838.4824 -99999 -99999 -99999 -99999 -99999          
161.0000 1833.4804 -99999 -99999 -99999 -99999 -99999          
162.0000 1828.4782 1.1253 1.1134 1.0839 1.1113 1.1135
163.0000 1823.4757 -99999 -99999 -99999 -99999 -99999          
164.0000 1818.4731 -99999 1.2338 -99999 1.2396 -99999  
165.0000 1813.4703 1.1263 1.1399 1.0975 1.0957 1.1493
166.0000 1808.4673 1.1748 1.1439 1.1185 1.1538 1.1623
167.0000 1803.4641 1.1552 1.1442 1.1123 1.1316 1.1554
168.0000 1798.4607 1.1852 1.1810 1.1244 1.1683 1.1688
169.0000 1793.4571 1.1234 1.1143 1.0765 1.1074 1.1190
170.0000 1788.4533 1.1520 1.1274 1.0993 1.1099 1.1717
171.0000 1783.4493 1.1201 1.1295 1.0984 1.1439 1.1682
172.0000 1778.4451 1.1417 1.1431 1.0896 1.1059 1.1296
173.0000 1773.4407 1.1842 1.1428 1.1153 1.1213 1.1148
174.0000 1768.4361 1.1474 1.1573 1.1226 1.1465 1.1272
175.0000 1763.4314 1.2020 1.2041 1.1560 1.1782 1.1984
176.0000 1758.4264 1.1712 1.1682 1.1322 1.1525 1.1660
177.0000 1753.4213 1.1153 1.0956 1.0718 1.0955 1.1044
178.0000 1748.4160 1.0916 1.0776 1.0434 1.0926 1.0830
179.0000 1743.4105 1.0820 1.0708 1.0364 1.0494 1.0834
